Pos,Age,MP,Min,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasMedCmp,PasMedAtt,PasLonCmp,PasLonAtt,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasOff,PasOut,ScaDrib,ScaFld,ScaDef,GcaDrib,GcaDef,Tkl,TouAttPen,DriSucc%,PKwon,PKcon,OG
DF,20,1,58,0,0,0,0,0,0,0,0,0,0,16.7,25,320,75,8.33,8.33,6.67,10,1.67,5,0,0,0,0,0,0,25,0,0,0,0,0,0,0,1.67,0,0,0,0,0
MFFW,25,7,150,0,1.76,0.59,33.3,0,0,29.9,0,0,0,44.7,52.9,847.1,182.4,17.6,20,18.8,21.2,7.06,9.41,0,1.76,5.29,1.18,0,5.88,52.9,0.59,0,0.59,0,0,0,0,1.18,1.76,57.1,0,0,0
DF,22,6,473,0,0.75,0.19,25,0,0,10.4,0,0,0,42.3,53,969.8,376.6,10.9,12.3,21.5,24.5,9.43,14.9,0,0.38,3.4,0.19,0.19,4.53,53,0.57,0.94,0,0,0,0,0,1.7,0.57,100,0,0.19,0
MF,26,9,564,0,0.48,0.16,33.3,0,0,24.7,0,0,0,59.5,67.1,1372.9,326.8,16.3,18.6,28.4,30.5,14,17,0,1.11,9.68,1.27,0.63,7.62,67.1,0.16,0.48,0,0,0,0,0,2.06,0.16,42.9,0,0,0
DF,26,10,900,0.1,0.7,0.3,42.9,0.14,0.33,8.2,0,0,0,46.7,57.3,1344,446.7,7.4,8.2,21.7,23.7,17.4,24.8,0,0.3,3.9,0.3,0,2,57.3,0.2,1.5,0,0,0,0,0,1.6,1.2,75,0,0,0
FWMF,19,6,93,0,4,0,0,0,0,11.8,0,0,0,36,47,619,197,19,21,14,18,2,3,0,3,2,2,0,6,47,1,1,2,4,0,0,0,3,16,50,0,0,0
FW,29,11,857,0.21,1.16,0.63,54.5,0.18,0.33,14,0,0,0,28,34.6,424.7,113.7,15.5,17.9,9.58,11.4,1.68,2.63,0.21,1.37,1.26,1.47,0.42,3.47,34.6,0,0.95,0.21,0,0.21,0.11,0,2.84,3.58,69.2,0,0,0
MF,32,11,946,0.1,0.76,0.1,12.5,0.13,1,13,0,0,0,55.2,64.4,992.8,274.7,26.5,29.7,20.3,22.3,6.67,9.24,0.1,0.76,6.95,1.05,0,6.38,64.4,0,0.86,0,0.1,0.19,0,0,3.9,1.24,70,0.1,0,0
FW,27,12,756,0.36,2.14,0.6,27.8,0.11,0.4,11.5,0,0.12,0.12,20.5,26.8,310.5,27.1,11.8,14.3,6.07,7.98,1.55,1.79,0.12,0.83,0.6,0.36,0,1.07,26.8,0.24,0.24,0,0.12,0,0,0,0.71,3.93,80,0,0,0
MF,28,10,710,0,0.89,0.13,14.3,0,0,17.5,0.13,0,0,46.1,53.7,849.2,193.9,18.5,20.1,20.6,23.4,5.57,7.85,0.25,0.63,3.29,0.51,0.13,3.42,53.7,0.13,0.51,0,0,0,0,0,2.53,0.76,100,0,0,0.13
DF,25,10,814,0,0.89,0.33,37.5,0,0,19.2,0,0,0,32,47.6,650.6,274.7,12.1,14.6,14.2,20,5.33,11.3,0.11,1.78,2.44,1.56,1.22,3.11,47.6,0.56,1.11,0.11,0,0.11,0,0,1.33,1.56,100,0,0,0
