Pos,Age,MP,Min,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasMedCmp,PasMedAtt,PasLonCmp,PasLonAtt,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasOff,PasOut,ScaDrib,ScaFld,ScaDef,GcaDrib,GcaDef,Tkl,TouAttPen,DriSucc%,PKwon,PKcon,OG
MF,27,12,995,0.18,0.63,0.18,28.6,0.29,1,17.2,0,0,0,26.5,35.9,439.5,104.6,13.2,16.3,9.46,11.9,2.79,5.14,0.09,1.26,1.8,0.63,0.45,1.71,35.9,0.09,0.9,0.27,0,0.09,0.09,0,1.35,1.44,50,0,0,0
FWDF,29,12,1046,0.26,1.21,0.34,28.6,0.21,0.75,12.7,0,0,0,26.5,37.1,446.2,151.5,12.4,15,10.8,14.1,2.33,5.34,0.09,0.6,1.9,0.69,0.17,2.41,37.1,0.26,0.6,0,0.17,0,0,0,1.64,3.02,53.3,0.09,0.09,0
MF,24,9,243,0,2.96,2.22,75,0,0,20.3,0,0,0,79.3,93,1323.3,246.3,40.4,44.8,31.9,34.8,6.67,11.5,0,1.11,8.52,0.37,0,6.3,93,0,0.74,0.37,0,0.37,0,0,2.59,3.7,63.6,0,0,0
FWMF,20,6,298,0.3,1.21,0.61,50,0.25,0.5,8.3,0,0,0,29.7,37.6,421.5,115.8,17,19.7,10.9,12.7,0.3,0.91,0,1.21,2.12,1.52,0,3.33,37.6,0,0.91,0.3,0,0,0,0,2.73,3.94,75,0,0,0
MF,20,1,3,0,0,0,0,0,0,0,0,0,0,2,2,28,0,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
DF,27,5,288,0.31,1.25,0.31,25,0.25,1,8.8,0,0,0,51.3,55.6,1079.1,293.8,16.3,16.6,26.3,27.2,8.44,11.3,0,0,1.88,0,0,3.13,55.6,0,0.31,0,0,0,0,0,0.31,1.25,0,0,0,0
GK,27,11,990,0,0,0,0,0,0,0,0,0,0,25.4,33.7,843.3,562.7,3.64,3.82,11.2,11.4,10.5,18.5,0,0,0.64,0,0,0.09,33.7,0.45,1,0,0,0,0,0,0,0,0,0,0,0
DF,24,2,122,0,0.71,0,0,0,0,15.1,0,0,0,32.9,43.6,705,290.7,10,14.3,17.9,20,5,7.86,0,0.71,2.86,0,0,1.43,43.6,0,0,0,0,0.71,0,0,3.57,1.43,100,0,0,0
MF,33,8,615,0.29,2.06,0.59,28.6,0.14,0.5,13.8,0.29,0,0,23.8,32.2,340,84.4,14,17.4,8.38,10,0.44,2.06,0.29,1.03,1.62,0.29,0,2.21,32.2,0,0.74,0.15,0,0,0,0,2.79,3.53,55.6,0,0,0
DF,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MF,24,11,964,0,0.56,0.19,33.3,0,0,25.4,0,0,0,15.3,25.9,289.3,100.2,6.17,8.41,7.2,10.3,1.78,5.51,0,0.28,1.78,0.56,0.09,3.08,25.9,0.37,0.84,0,0.19,0,0,0,2.24,0.65,50,0,0,0
FWMF,19,6,196,0.45,2.27,0.45,20,0.2,1,15.3,0,0,0,30.9,42.3,546.4,140.9,14.5,17.7,11.4,15,3.64,5.91,0,2.73,1.36,3.18,0.91,4.55,42.3,0.45,0.45,0,0.45,0,0,0,2.27,4.55,50,0,0,0
FWMF,21,8,168,0,1.58,0,0,0,0,23.9,0.53,0,0,24.2,31.1,359.5,43.7,10.5,12.6,12.1,13.7,0.53,3.16,0,0.53,0,0,0,1.58,31.1,0,0.53,0,0.53,0,0,0,1.58,1.58,44.4,0,0,0
DF,23,5,348,0.26,0.26,0.26,100,1,1,8,0,0,0,56.7,62.8,1062.8,391.3,21,21.5,28.2,30.3,6.15,8.97,0,0,2.31,0,0,2.31,62.8,0.77,1.03,0,0,0,0,0,1.79,0.51,100,0,0,0
MF,39,1,37,0,0,0,0,0,0,0,0,0,0,50,57.5,685,50,32.5,35,15,20,0,0,0,0,5,0,0,0,57.5,2.5,0,0,2.5,0,0,0,0,0,0,0,0,0
MF,21,5,358,0,1,0.25,25,0,0,22,0,0,0,44.8,49,888,169,16.8,18,20,21.8,7.25,7.75,0.25,0.5,5.75,0.25,0,3.25,49,0,0,0.25,0,0,0,0,1.75,1,100,0,0,0
MF,23,11,990,0.09,0.73,0.18,25,0.13,0.5,25.1,0,0,0.09,51.3,57.4,1022.7,249.3,21.5,24.5,20.9,21.7,8.09,10.1,0.09,1.18,6.82,0.55,0.09,4.27,57.4,0.09,0.55,0.09,0.09,0,0,0,2.45,0.82,83.3,0,0,0
DF,22,3,47,0,2,0,0,0,0,10,0,0,0,34,42,436,138,24,30,8,10,0,0,0,0,4,0,0,0,42,0,0,0,0,0,0,0,2,2,0,0,0,0
MFFW,25,9,371,0,2.68,0.73,27.3,0,0,12.8,0,0,0,21.5,28.3,376.3,90,11.5,14.1,6.83,8.54,2.68,3.9,0.49,1.71,0.98,1.71,0.49,2.2,28.3,0,0,0.49,0.98,0,0,0,1.71,6.34,71.4,0.24,0,0
FW,24,8,236,0.77,5,2.31,46.2,0.15,0.33,23.1,0.38,0,0,11.2,20.8,163.1,61.2,6.92,10.8,3.85,5.38,0.38,4.23,0.38,0.38,0.38,1.15,0,2.31,20.8,0.38,1.15,1.54,0,0,0.38,0,1.54,2.31,66.7,0,0,0
DF,29,4,324,0,0.83,0.28,33.3,0,0,33.5,0,0,0,38.3,51.9,704.7,315.8,18.3,20,15.3,20.8,4.44,9.17,0,0.83,2.22,1.94,0.56,2.78,51.9,0.28,0.83,0.28,0,0.28,0,0,2.22,0.83,50,0,0,0
DFMF,26,2,36,0,0,0,0,0,0,0,0,0,0,57.5,72.5,832.5,195,35,35,22.5,32.5,0,5,0,0,0,0,0,5,72.5,0,0,0,0,0,0,0,5,0,0,0,0,0
GK,34,11,990,0,0,0,0,0,0,0,0,0,0,31.5,51.9,1344.1,974.6,2.09,2.18,8.36,8.64,21.1,40.9,0,0.18,3.73,0.36,0,1.27,51.9,0.27,2.18,0,0,0,0,0,0,0,100,0,0.09,0
MF,34,10,844,0,0.96,0.32,33.3,0,0,21.1,0,0,0,36,43.9,674.3,169.3,15.3,18,16.2,18.5,4.15,6.38,0.21,0.74,4.47,1.06,0.11,3.83,43.9,0.32,0.74,0.11,0,0.11,0,0,1.6,1.28,53.3,0,0,0
GK,35,4,331,0,0,0,0,0,0,0,0,0,0,27.6,32.7,644.9,454.6,7.03,7.03,15.1,15.4,5.14,10,0,0,0,0,0,0.27,32.7,0,0.27,0,0,0,0,0,0,0,0,0,0,0
FW,29,11,633,0.29,3.29,1.29,39.1,0.09,0.22,17.5,0,0,0,25.7,35.1,389.4,83,15.7,18.7,8.57,11.7,1.14,2.57,0,1.57,2.43,1,0.14,2.43,35.1,0.14,0.86,0.14,0.29,0,0,0,2.43,5.14,31.6,0,0,0
MFFW,22,10,712,0.38,2.66,1.14,42.9,0.14,0.33,21.4,0.13,0,0,18.2,26.1,290.3,94.4,9.11,10.9,6.84,9.87,1.65,3.67,0,0.63,1.77,1.01,0.13,2.91,26.1,0.13,0.89,0.13,0.25,0,0.13,0,0.63,3.42,35.5,0,0,0
FW,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DF,30,9,377,0.48,1.19,0.71,60,0.4,0.67,13.6,0,0,0,69,75.5,1145.7,259,36.7,38.1,24,26.4,7.14,8.81,0,0.71,7.62,0.95,0.48,3.1,75.5,0.48,0.48,0,0,0,0,0,1.43,2.62,33.3,0,0,0
MF,25,11,774,0.12,1.05,0.35,33.3,0.11,0.33,16.7,0.12,0,0,25.5,35.3,477.3,157.4,12.8,14.5,8.14,9.77,4.07,9.65,0.12,1.51,1.86,1.28,0.12,2.91,35.3,0.47,1.28,0,0.23,0.12,0,0,1.86,1.4,54.5,0,0,0
DF,28,9,596,0,0.61,0,0,0,0,14.6,0,0,0,63.3,78.6,1198.3,409.2,26.1,28.5,28.2,32.9,8.03,14.4,0.15,1.82,3.79,1.21,0.45,4.24,78.6,0,0.45,0,0,0,0,0,1.06,3.48,33.3,0,0,0
DF,25,10,838,0,0.11,0,0,0,0,26.3,0,0,0,36.2,49.5,714.2,346.6,13,15.3,18.1,22.3,4.84,10.3,0,0.86,2.47,1.94,0.97,3.76,49.5,0,0.86,0,0,0.11,0,0,2.04,1.08,46.7,0,0,0
MF,25,11,810,0.11,1.22,0.44,36.4,0.09,0.25,17.8,0,0,0,44.1,55.7,822.2,300.7,18.9,21.2,18.1,21.4,5.89,10.2,0,1,6.33,0.67,0,7.78,55.7,0.33,0.78,0,0.11,0,0,0,2.44,1.89,58.3,0,0,0
DF,30,8,535,0,0.34,0,0,0,0,9.3,0,0,0,39.2,45.9,878.5,336.6,11,12.2,19.8,21.4,8.14,12,0,0,2.2,0,0,1.69,45.9,0.34,0.51,0.17,0,0,0,0,2.03,0.34,100,0,0.17,0
GK,25,2,180,0,0,0,0,0,0,0,0,0,0,15,30,674,521.5,1.5,1.5,4.5,4.5,9,24,0,0,0.5,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0
MF,32,9,433,0.42,0.42,0.42,100,1,1,13.2,0,0,0,38.3,45,715.8,179.6,14.2,16.5,17.5,18.8,4.58,7.08,0.21,0.83,4.79,0.21,0,2.92,45,0.42,0.21,0,0.21,0,0,0,2.92,0.83,100,0,0,0
DF,25,9,808,0.11,0.78,0.22,28.6,0.14,0.5,6.8,0,0,0,60.2,65.3,1384.7,294.8,10.4,11.3,37.4,39.7,12,13.7,0,0,2.22,0,0,2.33,65.3,0,0.44,0,0,0,0,0,0.56,0.78,0,0,0,0
MF,26,10,852,0,1.37,0.21,15.4,0,0,18.4,0,0,0,85.7,93.9,1778.2,361.3,28.5,30.7,42.7,45.6,14,16.5,0.32,0.74,8.74,0.84,0,5.79,93.9,0,0.53,0,0.11,0,0,0,2.21,1.68,80,0,0,0
FW,22,10,663,0.14,0.68,0.27,40,0.2,0.5,14.8,0,0,0,35.3,41.1,576.9,151.4,18.5,19.9,13.2,15.5,2.7,4.32,0,0.41,2.3,1.22,0.54,3.38,41.1,0.27,0.95,0,0.27,0,0,0,0.81,2.03,50,0.14,0,0
FWMF,31,10,667,0.68,4.19,1.22,29,0.16,0.56,16.1,0.14,0,0,19.6,28,345,79.3,10,12.2,6.49,9.59,2.57,4.32,0.14,0.81,1.35,0.68,0.14,2.16,28,0.27,0.81,0.27,0,0.14,0,0,0.81,5.68,50,0,0,0
FWMF,35,4,145,0,3.75,1.88,50,0,0,12.8,0,0,0,11.9,16.3,138.1,13.8,8.75,9.38,1.25,3.13,0.63,1.88,0,0.63,0,0,0,0,16.3,0,0,0,0,0.63,0,0,0,7.5,100,0,0,0
MF,24,9,720,0.25,2.25,1.13,50,0.11,0.22,21.5,0.38,0,0,41.5,52.4,757.5,204.6,21.3,24.1,14.6,17.1,5.25,10,0,1.13,4.88,0.63,0.25,3.5,52.4,0,1.13,0.13,0,0.13,0,0,1.38,2.25,37.5,0,0,0
MFFW,34,11,553,0,0.82,0.49,60,0,0,21.5,0,0,0,22.3,29.3,392.8,103.3,12,13.3,7.54,9.67,2.3,4.92,0.33,1.97,1.97,0.98,0.33,2.46,29.3,0.16,0.82,0.16,0,0.16,0,0.16,1.31,0.98,58.3,0,0,0
MF,28,10,896,0,0.8,0.3,37.5,0,0,23,0,0,0,44,49.4,861.9,235.4,17.5,18.8,19.1,20.9,6.5,8.3,0,0.6,4.1,0.2,0,2.8,49.4,0.1,0.5,0,0,0,0,0,2.2,0.5,87.5,0,0,0
FWMF,21,3,50,0,0,0,0,0,0,0,0,0,0,20,25,321.7,113.3,8.33,10,10,11.7,1.67,1.67,0,0,3.33,0,0,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0
DF,30,9,790,0,0.57,0.11,20,0,0,24.7,0.11,0,0,53.5,61.5,1051,331.4,21.3,22.3,25.9,28,6.02,10,0,0.57,4.32,0.45,0.23,3.86,61.5,0.11,1.25,0,0,0,0,0,1.59,0.45,66.7,0,0,0
FW,21,9,651,0.56,3.33,1.11,33.3,0.13,0.38,17.7,0,0.14,0.14,31.5,36.4,428.3,97.4,21.4,23.9,8.61,10,1.11,1.67,0.56,1.67,2.22,1.81,0.28,2.92,36.4,0.42,0,0.97,0.69,0.14,0.28,0,0.97,6.81,58.6,0.14,0,0
DF,23,4,245,0,0.37,0,0,0,0,19.7,0,0,0,17.4,24.4,328.1,145.6,6.67,8.52,5.93,7.78,3.7,4.81,0,1.11,1.48,1.11,0.74,1.48,24.4,0,1.11,0,0,0,0,0,1.48,0.37,100,0,0,0
DF,25,4,315,0,0.57,0,0,0,0,6,0,0,0,22,27.4,485.7,179.7,3.14,3.14,14,17.1,3.71,5.71,0,0,0.29,0,0,1.14,27.4,0,0.57,0,0,0,0,0,1.14,0.57,0,0,0,0
DF,24,10,900,0,0.3,0,0,0,0,25.3,0,0,0,51.7,62.9,1062,381.9,18.6,19.6,22.9,26.3,9.5,14.9,0.2,0.7,3.3,1.5,0.6,4,62.9,0.2,0.8,0,0.1,0,0,0,1,0.6,100,0,0,0
DF,27,10,834,0.11,0.65,0.22,33.3,0.17,0.5,14.5,0,0,0,44.2,49.9,825.2,267.3,17.3,18.6,20.8,22.4,4.73,7.2,0,0.22,1.94,0.22,0,0.97,49.9,0,0.43,0,0,0,0,0,0.97,0.86,0,0,0,0
DF,24,8,658,0,0.55,0.14,25,0,0,12,0,0,0,51.5,57.4,1088.8,356,16.2,17.5,26.3,27.4,8.63,10.7,0,0.41,4.52,0.55,0,3.97,57.4,0.14,0.27,0,0,0.14,0,0,2.88,1.1,57.1,0,0,0
MF,21,1,11,0,0,0,0,0,0,0,0,0,0,10,20,90,50,10,10,0,10,0,0,0,0,10,0,0,0,20,0,0,0,0,0,0,0,0,10,0,0,0,0
MF,31,1,74,0,0,0,0,0,0,0,0,0,0,33.8,37.5,612.5,106.3,13.8,15,15,17.5,3.75,3.75,0,0,2.5,1.25,0,3.75,37.5,0,0,0,0,0,0,0,0,2.5,100,0,0,0
MF,31,8,720,0.13,0.88,0.25,28.6,0.14,0.5,15,0,0,0,47.3,54.1,906.6,195.4,18.1,19,21.6,24.4,6.25,9.25,0,0.75,4.25,0.88,0.25,3.5,54.1,0.38,0.5,0,0.13,0,0,0,1.88,1.38,80,0,0,0
FW,37,8,345,0.26,4.21,1.05,25,0.06,0.25,16,0,0,0,23.2,31.3,294.2,53.4,15,17.6,6.58,9.47,0.26,1.32,0,1.32,1.58,0.26,0,1.32,31.3,0,1.05,0,0,0,0,0,0.26,6.05,25,0,0,0
FW,33,7,109,0,3.33,0.83,25,0,0,19.3,0,0,0,21.7,26.7,235,42.5,15.8,19.2,4.17,5,0,0,0,0.83,0.83,0.83,0,2.5,26.7,0,0,0,0,0,0,0,0.83,3.33,50,0,0,0
MF,27,11,869,0,0.82,0,0,0,0,21.9,0,0,0,57,63.6,1004.4,251.2,25.3,26.9,24.5,26.9,5.77,7.11,0,1.24,4.85,1.13,0.1,5.57,63.6,0.1,0.41,0.1,0,0.1,0,0,3.3,1.55,80,0,0,0
GK,30,10,900,0,0,0,0,0,0,0,0,0,0,26.8,40.2,915.2,658.6,3.2,3.2,13.4,13.5,9.9,23.1,0,0.1,1.9,0.2,0,0,40.2,0.1,1,0,0,0,0,0,0,0,0,0,0,0
MF,31,11,974,0,0.19,0,0,0,0,23.6,0,0,0,34.5,44.1,737.8,204.6,9.91,11.9,18.5,21.4,5.74,9.35,0.09,0.37,2.87,0.37,0,2.69,44.1,0.09,0.56,0,0.19,0,0,0,1.76,0.28,100,0,0,0
MFDF,25,9,583,0,0.31,0,0,0,0,10.6,0,0,0,42.5,47.8,803.2,248.2,15.1,16.5,21.5,23.7,4.77,5.85,0,1.08,3.38,1.08,0,3.23,47.8,0,0.46,0,0.15,0,0,0,1.85,0.62,66.7,0,0,0
DF,17,1,14,0,0,0,0,0,0,0,0,0,0,40,55,880,80,10,15,25,25,5,15,0,0,0,0,0,5,55,0,0,0,0,0,0,0,5,5,0,0,0,0
MF,27,1,14,0,0,0,0,0,0,0,0,0,0,10,15,155,30,5,5,5,10,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
DF,21,12,1072,0.08,0.34,0.25,75,0.25,0.33,8.3,0,0,0,48.2,54,1005.7,329.7,15.5,16.6,24.2,25.7,8.07,10.6,0,0.17,2.69,0,0,2.69,54,0.08,0.59,0,0,0,0,0,1.68,0.5,33.3,0,0,0
MF,29,1,15,0,0,0,0,0,0,0,0,0,0,5,10,50,0,5,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
MF,20,6,499,0,0.91,0.18,20,0,0,22.8,0,0,0,62.2,69.6,1329.1,286.5,19.1,21.5,30.5,32.4,11.3,14,0,1.09,6.73,0.36,0,5.27,69.6,0.36,1.27,0,0,0,0,0,2.91,0.36,33.3,0,0,0
MF,20,3,27,0,6.67,0,0,0,0,24.2,0,0,0,66.7,76.7,1746.7,323.3,6.67,10,50,53.3,10,13.3,0,0,10,0,0,3.33,76.7,0,0,0,0,0,0,0,3.33,0,100,0,0,0
DF,28,8,711,0,1.14,0,0,0,0,14.4,0,0,0,62.3,68,1342.4,424.1,17.3,18.5,33.4,34.8,10.8,13.7,0,0.51,4.3,0.13,0,4.05,68,0,1.01,0.13,0,0,0,0,1.77,1.14,100,0,0,0
DF,23,2,45,0,2,0,0,0,0,10.8,0,0,0,26,30,548,172,8,8,14,16,4,6,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2,2,0,0,0,0
MFFW,21,4,244,0,2.22,0,0,0,0,18.2,0,0,0,17.4,26.7,247,89.3,10.7,11.9,3.7,8.15,1.48,3.7,0,0.37,1.11,1.11,0,2.59,26.7,0.37,1.11,0,0,0.74,0,0,3.7,3.33,50,0,0,0
DF,29,11,596,0.15,0.91,0.3,33.3,0.17,0.5,11.2,0,0,0,60.5,64.8,1282.3,422.1,17.6,18.3,32,33.2,10.5,12.4,0,0.3,4.24,0.45,0,2.88,64.8,0,0.3,0,0,0,0,0,0.45,0.91,0,0,0,0
MF,32,9,192,0,0,0,0,0,0,0,0,0,0,41.9,56.7,890.5,263.3,11.9,12.9,22.9,27.1,7.14,15.2,0.48,1.9,4.29,0.95,0.95,4.29,56.7,0.48,0.48,0,0,0,0,0,3.81,0.48,33.3,0,0,0
DF,28,2,168,0,0.53,0,0,0,0,10,0,0,0,53.7,62.1,1255.3,274.7,9.47,12.1,35.3,37.9,8.95,12.1,0,0,3.68,0,0,1.58,62.1,0,1.05,0,0,0,0,0,0,0.53,0,0,0,0
DF,20,3,25,0,3.33,0,0,0,0,17.5,0,0,0,33.3,40,646.7,173.3,16.7,16.7,13.3,16.7,3.33,3.33,0,0,3.33,0,0,3.33,40,3.33,0,0,0,0,0,0,0,3.33,0,0,0,0
DF,31,9,744,0,0.36,0.12,33.3,0,0,19.8,0.12,0,0,58.7,71.3,1177.7,449.9,25.8,28,22.4,26.6,10,15.3,0.48,2.77,4.34,2.05,0.96,5.66,71.3,0.24,0.72,0,0.12,0,0,0,2.05,0.24,50,0,0,0
DFFW,26,11,498,0,1.09,0.18,16.7,0,0,24.1,0,0,0,36.2,46.2,665.8,238.7,16.9,19.1,14.2,16.7,4.55,8.18,0,0.36,3.27,0.55,0.18,2.55,46.2,0,1.64,0,0.36,0.18,0,0,3.27,1.45,37.5,0,0,0
MF,20,1,62,0,0,0,0,0,0,0,0,0,0,38.6,42.9,400,62.9,31.4,32.9,5.71,7.14,0,1.43,0,0,0,0,0,0,42.9,0,1.43,0,0,0,0,0,2.86,1.43,100,0,0,0
MF,26,6,418,0,1.52,0.22,14.3,0,0,19,0,0,0,79.8,84.6,1318.3,309.1,39.6,41.1,31.3,32.6,6.96,7.83,0,0.65,7.39,1.09,0,4.13,84.6,0,0,0.22,0,0,0,0,3.48,1.09,50,0,0,0
DF,33,3,251,0,0.36,0,0,0,0,0,0,0,0,22.9,28.2,465,193.6,7.5,8.93,12.1,13.2,3.21,5.71,0,0,0.36,0,0,1.07,28.2,0.36,0.71,0,0,0,0,0,0,0.71,0,0,0,0
GK,30,11,990,0,0,0,0,0,0,0,0,0,0,33.8,39.5,966.6,509,5.09,5.09,16.7,17,11.9,17.1,0,0,0.55,0,0,0.09,39.5,0,0.64,0,0,0,0,0,0,0,0,0,0,0
DF,27,1,76,0,0,0,0,0,0,0,0,0,0,31.3,37.5,723.8,293.8,11.3,12.5,11.3,13.8,8.75,11.3,0,0,1.25,0,0,0,37.5,0,0,0,0,0,0,0,1.25,0,0,0,0,0
FW,20,11,753,0.12,2.5,1.31,52.4,0.05,0.09,15.9,0,0,0,11,15.8,174.8,48.1,5.95,8.1,3.21,5,1.31,1.55,0.24,1.07,0.83,1.31,0.24,2.02,15.8,0,0.24,1.19,0.36,0,0.24,0,0.83,5.6,49.1,0.12,0,0
DF,24,9,691,0,1.56,0.39,25,0,0,23.5,0,0,0,29,41.7,500.8,222.1,13.5,16.6,12.1,15.8,2.73,7.14,0,0.52,1.82,1.04,0.39,2.47,41.7,0.13,1.3,0.39,0,0,0,0,1.95,1.17,64.7,0,0,0
GK,29,12,1080,0,0,0,0,0,0,0,0,0,0,26.2,35,668,359.4,6.08,6.17,13.8,14,6.08,14.6,0,0,0.42,0,0,0,35,0.17,0.42,0,0,0,0,0,0,0,0,0,0,0
DF,29,6,369,0,0.49,0,0,0,0,24,0,0,0,41.2,45.9,685.4,271,20.7,21.7,17.3,19.5,2.68,3.66,0,0.49,2.2,1.22,0.24,2.68,45.9,0,0.24,0.24,0,0.24,0.24,0,1.95,0.49,71.4,0,0,0
DF,23,4,258,0,0,0,0,0,0,0,0,0,0,39.7,50,646.2,253.8,19.7,23.1,14.5,17.9,3.45,6.55,0,0,3.1,1.03,0.34,2.76,50,0,1.03,0,0,0,0,0,1.72,0.69,40,0,0,0
MF,25,10,781,0.11,2.53,0.69,27.3,0.05,0.17,24.1,0.57,0,0,28.6,41.3,582.4,164.8,12.1,14.5,11.4,15.1,4.6,9.66,0,1.15,3.33,1.26,0.11,3.79,41.3,0.11,0.92,0.11,0.23,0.11,0,0,1.72,2.41,29.6,0,0,0
MF,28,10,530,0.17,2.2,0.68,30.8,0.08,0.25,21.1,0,0,0,62.5,70.3,1060.3,262.9,30.3,33.2,25.4,26.9,5.08,7.63,0,0.51,6.1,0.85,0,5.93,70.3,0.34,0.34,0,0,0,0,0,3.05,2.2,50,0,0,0
DF,27,9,611,0,0.44,0,0,0,0,12.9,0,0,0,37.8,44.6,681,227.5,15.4,16.5,18.8,20.9,3.09,6.18,0.29,1.18,1.47,0.59,0.15,2.94,44.6,0,0.15,0.15,0,0.29,0,0,1.62,1.03,75,0,0.15,0.15
FW,25,2,82,1.11,1.11,1.11,100,1,1,1,0,0,0,14.4,14.4,190,34.4,12.2,12.2,1.11,1.11,1.11,1.11,0,0,0,0,0,0,14.4,0,0,0,1.11,0,0,0,1.11,5.56,66.7,0,0,0
FW,25,3,240,0.74,2.59,1.11,42.9,0.29,0.67,12.8,0,0,0,8.15,14.4,99.6,9.63,5.56,8.52,2.22,3.7,0.37,0.74,0,1.11,0,0.37,0,0.37,14.4,0.37,0,0.37,0.37,0,0,0,0.37,6.3,16.7,0,0,0
FW,23,7,247,0,2.96,0.74,25,0,0,20,0,0,0,30.4,41.5,440.4,143,18.9,22.6,8.89,13.7,1.48,2.59,0.37,1.11,1.48,1.85,0.37,3.7,41.5,0,0,0,0,0,0,0,1.48,4.44,42.9,0,0.37,0
FWMF,27,9,227,1.2,3.2,1.6,50,0.38,0.75,15.3,0,0,0,25.2,30.4,395.2,86.4,13.6,16,8.4,9.6,2,3.2,0,1.6,2,2.4,0,4.4,30.4,0.4,1.2,1.2,0,0,0.8,0,0.8,4.8,100,0,0,0
FW,25,5,355,0.26,3.08,1.28,41.7,0.08,0.2,17.9,0,0,0,23.1,34.9,419.5,140.5,10,14.9,10,13.8,2.31,3.85,0.51,1.79,1.54,3.33,0.51,6.41,34.9,0.26,0.26,1.28,0.51,0,0.26,0,0,6.67,65.2,0,0,0
DF,24,5,355,0.26,0.77,0.51,66.7,0.33,0.5,20,0,0,0,44.6,51,676.9,237.7,23.8,25.6,17.2,19,2.31,4.36,0.26,1.54,2.56,1.03,0.51,2.82,51,0.26,0.51,0,0,0,0,0,2.82,2.05,45.5,0,0,0
FWMF,31,6,193,0.48,0.48,0,0,0,0,32,0,0.48,0.48,41.9,53.8,735.2,173.8,20.5,23.3,13.8,17.1,5.71,9.05,0,1.43,3.81,1.9,0.48,4.29,53.8,1.9,0.48,0,0,0,0,0,0.95,1.9,50,0,0,0
FW,21,11,966,0.37,2.43,0.75,30.8,0.12,0.38,15.4,0,0.09,0.09,29.4,37.9,455.2,117.7,19.1,21.9,7.01,8.79,2.9,4.95,0.37,1.87,1.31,1.5,0.19,2.62,37.9,0,0.65,0.09,0.09,0.19,0,0,1.59,6.45,60,0,0,0
MF,26,12,931,0,1.46,0.29,20,0,0,22.2,0.1,0,0,35.8,44.2,745.1,183.3,14.7,16.2,13,15.6,7.18,10.7,0.1,1.55,3.79,0.78,0.29,3.3,44.2,0.29,0.49,0,0,0,0,0,2.82,2.23,40,0,0,0
DF,32,6,382,0.24,0.48,0.24,50,0.5,1,7,0,0,0,54,61,1073.6,353.8,19,20,27.9,30.2,6.67,10,0,0,1.43,0.24,0,1.9,61,0.24,0.24,0,0,0.24,0,0,1.19,0.48,0,0,0.24,0
MF,30,6,112,0,0,0,0,0,0,0,0,0,0,32.5,41.7,599.2,179.2,15.8,16.7,12.5,15,4.17,6.67,0,0.83,2.5,1.67,0.83,3.33,41.7,0,0.83,0,0.83,0,0,0,1.67,1.67,0,0,0,0
FW,30,11,967,0.28,3.36,1.21,36.1,0.08,0.23,14.9,0,0,0,20.4,25.9,305.4,91.1,10.7,12.5,7.38,9.07,1.21,1.87,0.28,2.24,0.28,2.34,0.75,3.27,25.9,0.28,0.37,0.47,0,0,0,0,0.37,9.63,50,0,0,0
FWMF,22,10,316,0.86,3.14,1.14,36.4,0.27,0.75,13.4,0,0,0,16.6,22.6,242,63.7,8.86,11.1,6.57,8.86,0.57,0.86,0.29,1.14,0.86,0.86,0.29,1.71,22.6,0,0,0.57,0.29,0.29,0.29,0,0.86,5.43,72.7,0,0,0
DF,21,11,990,0.18,0.27,0.18,66.7,0.67,1,12.9,0,0,0,60.8,65.6,1254.3,363.3,19,19.8,31.4,33.5,10.1,11.5,0.09,0.18,2.36,0.18,0,1.82,65.6,0,1,0,0,0,0,0,1.09,0.64,66.7,0,0.09,0.09
DF,23,11,990,0,0.36,0,0,0,0,7.6,0,0,0,36.1,47.9,755.3,289.5,10.2,11.4,20.8,24.5,4.73,11.5,0,0.09,2.45,0.27,0.18,1.73,47.9,0.09,1,0.09,0,0,0,0,2.82,0.36,100,0,0,0.09
MFFW,25,5,318,0,4,0.86,21.4,0,0,17.5,0,0,0,18.6,25.4,285.1,56.9,10.6,11.7,5.14,8.86,1.71,2.57,0,1.14,1.14,0.57,0.29,1.14,25.4,0.29,0,0,0.86,0,0,0,1.43,4.86,50,0.29,0,0
